"UKPRN","HE provider","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","First degree"
"10008071","AA School of Architecture","0","0","0","0","85","85"
"10007783","The University of Aberdeen","405","770","185","15","340","1,720"
"10019746","ABI College Limited","0","0","0","0","0","0"
"10007849","Abertay University","110","410","210","10","140","880"
"10007856","Aberystwyth University","315","845","505","55","0","1,720"
"10000080","Access to Music Limited","5","5","5","0","0","15"
"10000248","Academy of Live and Recorded Arts","20","30","5","0","0","55"
"10000291","Anglia Ruskin University","1,280","1,695","910","290","10","4,190"
"10041898","Apex College London","0","0","0","0","0","0"
"10005451","Arden University","10","40","30","10","5","95"
"10000381","Arts Educational Schools","15","55","15","0","0","85"
"10007759","Aston University","615","1,065","330","55","25","2,090"
"10007857","Bangor University","540","940","515","140","5","2,145"
"10000571","Bath Spa University","240","985","340","80","10","1,655"
"10007850","The University of Bath","885","1,590","350","40","0","2,865"
"10007152","University of Bedfordshire","500","1,100","700","220","0","2,515"
"10005343","Queen's University Belfast","985","2,160","695","90","290","4,220"
"10037544","BIMM Limited","160","435","275","65","0","935"
"10007760","Birkbeck College","180","480","385","105","0","1,150"
"10007140","Birmingham City University","1,265","2,035","1,100","410","150","4,960"
"10006840","The University of Birmingham","1,630","2,910","645","95","530","5,810"
"10000712","University College Birmingham","305","340","190","40","0","870"
"10000894","Bristol Baptist College","0","5","0","0","0","5"
"10007811","Bishop Grosseteste University","85","285","150","40","0","560"
"10004061","Bloomsbury Institute","10","70","60","40","5","185"
"10006841","The University of Bolton","175","355","255","105","30","920"
"10000385","The Arts University Bournemouth","185","435","205","90","0","915"
"10000824","Bournemouth University","715","1,810","590","90","0","3,205"
"10031982","BPP University","25","150","185","80","10","445"
"10007785","The University of Bradford","570","815","420","50","310","2,165"
"10000886","The University of Brighton","805","1,915","1,045","165","290","4,220"
"10000936","The University College of Osteopathy","0","0","0","0","55","60"
"10007786","The University of Bristol","1,275","2,500","390","60","390","4,625"
"10028216","Brit College","0","0","0","0","0","0"
"10023464","Trinity College Bristol","0","10","0","0","0","10"
"10000961","Brunel University London","570","1,140","515","55","75","2,360"
"10000975","Buckinghamshire New University","285","695","495","260","0","1,735"
"10007787","The University of Buckingham","85","140","85","15","0","330"
"10022021","UK College of Business and Computing","0","0","0","0","0","0"
"10041974","London College of Business Sciences","0","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","5","20","5","0","0","30"
"10007788","The University of Cambridge","880","1,525","165","55","600","3,220"
"10032072","The Cambridge Theological Federation","0","5","5","0","0","15"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0"
"10001143","Canterbury Christ Church University","625","1,535","730","165","0","3,060"
"10007814","Cardiff University","1,250","2,625","910","130","300","5,215"
"10007854","Cardiff Metropolitan University","525","1,065","705","145","35","2,480"
"10007141","The University of Central Lancashire","1,265","1,960","1,130","305","220","4,880"
"10007848","University of Chester","510","1,240","745","170","0","2,665"
"10007137","The University of Chichester","185","695","330","60","0","1,275"
"10001386","Chicken Shed Theatre Company","10","10","5","5","0","25"
"10001546","The College of Integrated Chinese Medicine","5","25","20","0","0","50"
"10010213","The City College","0","0","0","0","0","0"
"10001478","City, University of London","525","1,255","630","70","85","2,565"
"10007912","Cliff College","0","10","5","0","0","15"
"10013357","The Academy of Contemporary Music","155","130","70","20","15","390"
"10001653","Conservatoire for Dance and Drama","90","125","20","0","75","315"
"10007761","Courtauld Institute of Art","20","35","5","0","0","55"
"10034324","Court Theatre Training Company Ltd","5","10","0","0","0","15"
"10001726","Coventry University","1,595","2,765","1,385","190","165","6,105"
"10007822","Cranfield University","0","0","0","0","0","0"
"10006427","University for the Creative Arts","355","535","255","55","0","1,205"
"10007842","University of Cumbria","260","690","430","175","0","1,555"
"10001883","De Montfort University","1,155","2,045","970","320","90","4,585"
"10007851","University of Derby","755","1,285","795","235","5","3,075"
"10007852","The University of Dundee","395","620","205","25","805","2,055"
"10007143","University of Durham","1,105","2,180","295","40","0","3,615"
"10007789","The University of East Anglia","895","1,305","280","25","150","2,655"
"10007144","The University of East London","605","1,080","700","250","0","2,635"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","5","5","0","0","15"
"10007823","Edge Hill University","880","1,370","720","160","5","3,135"
"10007772","Edinburgh Napier University","290","970","345","80","950","2,635"
"10007790","The University of Edinburgh","1,220","2,285","515","35","650","4,705"
"10022047","Empire College London Limited","0","0","0","0","0","0"
"10007791","The University of Essex","780","1,310","505","60","10","2,665"
"10002113","East End Computing and Business College Limited","0","0","0","0","0","0"
"10008173","University College of Estate Management","15","45","30","10","0","100"
"10008229","EThames Graduate School Limited","5","15","10","5","0","35"
"10007792","The University of Exeter","1,260","3,040","605","80","90","5,075"
"10008640","Falmouth University","280","690","315","50","0","1,335"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0","0"
"10045476","Met Film School Limited","5","20","5","0","0","35"
"10004511","The National Film and Television School","0","0","0","0","0","0"
"10038763","ForMission Ltd","0","10","10","10","0","30"
"10022087","Futureworks","10","5","5","0","0","20"
"10007762","Glasgow Caledonian University","400","1,240","590","40","930","3,195"
"10002681","Glasgow School of Art","65","150","85","35","0","335"
"10007794","The University of Glasgow","975","1,970","470","55","710","4,175"
"10007145","University of Gloucestershire","400","840","380","110","0","1,730"
"10007833","Glyndŵr University","240","350","200","95","15","900"
"10002718","Goldsmiths College","355","900","225","15","0","1,495"
"10002735","Grafton College","0","0","0","0","0","0"
"10007146","The University of Greenwich","1,320","1,740","900","170","15","4,145"
"10007937","GSM London","50","300","495","160","65","1,070"
"10007825","Guildhall School of Music and Drama","55","85","5","5","10","160"
"10040812","Harper Adams University","85","250","155","20","55","565"
"10007764","Heriot-Watt University","390","700","260","110","225","1,685"
"10007147","University of Hertfordshire","1,030","2,000","1,150","415","0","4,600"
"10007765","Heythrop College","20","60","15","0","0","95"
"10007148","The University of Huddersfield","1,275","1,565","820","190","105","3,955"
"10007149","The University of Hull","645","1,625","885","215","75","3,440"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0"
"10003270","Imperial College of Science, Technology and Medicine","1,000","1,045","180","10","340","2,570"
"10035638","Institute of Contemporary Music Performance","80","70","20","10","0","180"
"10029682","The Islamic College","0","0","0","0","0","5"
"10021682","Kaplan Open Learning","0","5","0","0","0","10"
"10007767","Keele University","395","885","430","85","130","1,920"
"10003566","Kensington College of Business","5","10","15","5","0","35"
"10007150","The University of Kent","1,055","2,190","760","130","5","4,135"
"10003645","King's College London","1,305","2,055","445","75","545","4,425"
"10008325","KLC School of Design","0","0","0","0","0","5"
"10003678","Kingston University","1,110","1,720","950","265","20","4,070"
"10009285","Kogan Academy of Dramatic Arts","0","5","0","0","0","5"
"10007768","The University of Lancaster","665","1,340","540","105","15","2,665"
"10003854","Leeds Arts University","95","165","80","10","0","345"
"10003861","Leeds Beckett University","850","2,160","1,335","240","70","4,655"
"10007795","The University of Leeds","1,715","3,250","680","70","355","6,065"
"10003863","Leeds Trinity University","180","395","140","20","15","750"
"10007796","The University of Leicester","645","1,600","510","85","180","3,025"
