"Year","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","Total"
2014,5715,13680,5120,950,10745,36210
2015,6670,14300,5015,920,10235,37140
2016,6960,14645,4945,1015,10085,37650
2017,7575,15115,4740,945,9925,38295
2018,8080,14830,4755,875,10190,38730
2019,10220,14295,3605,680,8495,37300
