"Year","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","Total"
2014,4155,9975,5710,1260,705,21800
2015,4630,10095,5210,1025,600,21560
2016,5330,10365,5225,1080,670,22670
2017,5765,10140,4760,945,615,22220
2018,6045,10070,4490,930,575,22100
2019,7555,9725,3585,615,485,21965
