"UKPRN","HE provider","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","First degree"
"10008071","AA School of Architecture","0","0","0","0","210","210"
"10007783","The University of Aberdeen","865","1,170","225","10","335","2,600"
"10007849","Abertay University","165","350","110","10","90","730"
"10007856","Aberystwyth University","340","780","310","55","0","1,485"
"10067853","ACM Guildford Limited","115","105","35","5","30","285"
"10000248","Academy of Live and Recorded Arts","40","20","0","0","0","60"
"10000163","AECC University College","65","20","0","0","0","85"
"10032036","Amity Global Education","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","1,525","1,580","730","200","5","4,040"
"10041898","Apex College London","0","0","0","0","0","0"
"10005451","Arden University","35","105","90","40","0","275"
"10000381","Arts Educational Schools","10","55","10","0","0","75"
"10003212","Hult International Business School Ltd","0","0","0","0","215","215"
"10007759","Aston University","925","1,305","340","65","55","2,685"
"10007857","Bangor University","895","895","370","70","20","2,250"
"10000571","Bath Spa University","300","890","210","15","20","1,430"
"10007850","The University of Bath","1,365","1,605","230","20","0","3,215"
"10007152","University of Bedfordshire","370","695","505","155","0","1,730"
"10005343","Queen's University Belfast","1,160","2,105","425","50","285","4,025"
"10037544","BIMM Limited","235","460","270","75","0","1,040"
"10007760","Birkbeck College","230","405","260","50","0","945"
"10007140","Birmingham City University","1,900","2,080","880","190","45","5,090"
"10006840","The University of Birmingham","2,215","3,045","420","25","470","6,170"
"10000712","University College Birmingham","350","375","245","60","0","1,025"
"10000894","Bristol Baptist College","0","0","5","0","0","5"
"10007811","Bishop Grosseteste University","95","230","105","10","0","440"
"10004061","Bloomsbury Institute","40","70","35","10","0","155"
"10006841","The University of Bolton","315","360","260","70","30","1,030"
"10000385","The Arts University Bournemouth","250","445","215","85","0","1,000"
"10000824","Bournemouth University","1,040","1,985","640","60","0","3,725"
"10031982","BPP University","30","85","100","20","10","240"
"10007785","The University of Bradford","810","745","230","25","20","1,830"
"10000886","The University of Brighton","1,095","1,855","730","110","235","4,025"
"10000936","The University College of Osteopathy","0","0","0","0","80","85"
"10007786","The University of Bristol","1,780","2,540","330","25","455","5,120"
"10028216","Brit College","0","0","0","0","0","0"
"10023464","Trinity College Bristol","5","10","5","0","0","15"
"10000961","Brunel University London","680","1,325","505","45","55","2,610"
"10000975","Buckinghamshire New University","415","810","515","215","75","2,035"
"10007787","The University of Buckingham","100","175","100","10","60","440"
"10022021","UK College of Business and Computing","0","0","5","10","0","15"
"10019368","London College of Business Studies","0","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","5","10","10","0","0","20"
"10007788","The University of Cambridge","1,240","1,195","70","15","780","3,300"
"10032072","The Cambridge Theological Federation","0","10","5","0","0","10"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0"
"10001143","Canterbury Christ Church University","595","1,130","565","135","0","2,430"
"10007814","Cardiff University","1,845","2,675","640","60","300","5,525"
"10007854","Cardiff Metropolitan University","695","895","320","75","25","2,010"
"10007141","The University of Central Lancashire","1,380","1,755","905","285","175","4,500"
"10024024","Central Film School London","0","20","5","0","0","25"
"10007848","University of Chester","830","1,230","485","90","0","2,640"
"10007137","The University of Chichester","270","615","160","35","15","1,100"
"10001386","Chicken Shed Theatre Company","10","10","5","0","0","20"
"10001546","The College of Integrated Chinese Medicine","5","20","15","0","0","40"
"10001419","Christie's Education Limited","0","0","0","0","0","0"
"10026921","Christ the Redeemer College","0","5","5","0","0","10"
"10010213","The City College","0","0","0","0","0","0"
