"UKPRN","HE provider","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","First degree"
"10008071","AA School of Architecture","0","0","0","0","85","85"
"10007783","The University of Aberdeen","545","1,160","340","20","375","2,440"
"10019746","ABI College Limited","0","0","0","0","0","0"
"10007849","Abertay University","90","465","225","15","115","910"
"10007856","Aberystwyth University","310","945","515","60","0","1,830"
"10000080","Access to Music Limited","5","15","0","0","0","20"
"10000248","Academy of Live and Recorded Arts","5","50","5","0","0","60"
"10000291","Anglia Ruskin University","1,110","1,825","1,020","280","15","4,250"
"10041898","Apex College London","0","0","0","0","0","0"
"10005451","Arden University","5","40","35","10","5","90"
"10000381","Arts Educational Schools","15","50","25","0","0","85"
"10007759","Aston University","540","925","375","95","35","1,970"
"10007857","Bangor University","440","915","535","145","10","2,040"
"10000571","Bath Spa University","195","910","335","70","0","1,510"
"10007850","The University of Bath","755","1,350","295","50","0","2,445"
"10007152","University of Bedfordshire","520","1,110","705","180","145","2,655"
"10005343","Queen's University Belfast","925","2,040","705","140","295","4,105"
"10037544","BIMM Limited","135","330","230","45","0","740"
"10007760","Birkbeck College","180","420","350","70","0","1,025"
"10007140","Birmingham City University","1,125","1,990","1,215","300","300","4,930"
"10006840","The University of Birmingham","1,380","2,560","580","110","485","5,115"
"10000712","University College Birmingham","215","330","255","100","0","900"
"10000894","Bristol Baptist College","0","0","0","0","0","0"
"10007811","Bishop Grosseteste University","80","320","150","30","0","580"
"10004061","Bloomsbury Institute","15","70","75","20","0","185"
"10006841","The University of Bolton","150","400","290","95","35","970"
"10000385","The Arts University Bournemouth","165","430","235","75","0","910"
"10000824","Bournemouth University","550","1,490","540","60","20","2,660"
"10031982","BPP University","60","265","270","35","50","675"
"10007785","The University of Bradford","540","865","510","40","295","2,250"
"10000886","The University of Brighton","775","1,785","870","200","220","3,855"
"10007786","The University of Bristol","1,060","2,265","435","70","425","4,255"
"10028216","Brit College","0","0","0","0","0","0"
"10023464","Trinity College Bristol","0","5","0","0","0","10"
"10000961","Brunel University London","550","1,220","555","90","45","2,460"
"10000975","Buckinghamshire New University","270","690","495","275","0","1,735"
"10007787","The University of Buckingham","70","145","110","25","0","345"
"10022021","UK College of Business and Computing","0","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","5","10","5","0","0","20"
"10007788","The University of Cambridge","830","1,555","185","50","615","3,235"
"10032072","The Cambridge Theological Federation","0","5","0","0","0","10"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0"
"10001143","Canterbury Christ Church University","560","1,560","745","165","0","3,030"
"10007814","Cardiff University","1,095","2,580","885","100","250","4,915"
"10007854","Cardiff Metropolitan University","440","1,060","700","150","45","2,395"
"10007141","The University of Central Lancashire","1,000","1,995","1,225","285","300","4,805"
"10007848","University of Chester","390","1,250","755","165","0","2,565"
"10007137","The University of Chichester","180","750","320","75","0","1,325"
"10001386","Chicken Shed Theatre Company","10","5","10","0","0","25"
"10001546","The College of Integrated Chinese Medicine","5","30","20","5","0","60"
"10010213","The City College","0","0","0","0","0","0"
"10001478","City, University of London","530","1,125","530","60","70","2,315"
"10007912","Cliff College","0","10","10","0","0","25"
"10013357","The Academy of Contemporary Music","75","110","55","15","30","285"
