"Year","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","Total"
2014,70590,157295,73565,17985,13085,332515
2015,76405,160145,71370,17580,12620,338125
2016,87540,165025,69735,17375,11685,351010
2017,95865,165560,67240,16480,11335,356480
2018,98950,167935,67700,16115,11235,361935
2019,119695,160775,52495,10320,11325,354605
