"UKPRN","HE provider","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","First degree"
"10007783","The University of Aberdeen","365","1,055","380","25","390","2,210"
"10019746","ABI College Limited","0","0","0","0","0","0"
"10007849","Abertay University","180","415","210","30","240","1,080"
"10007856","Aberystwyth University","305","1,165","620","110","0","2,200"
"10000248","Academy of Live and Recorded Arts","5","40","10","0","0","55"
"10000291","Anglia Ruskin University","730","1,405","865","300","15","3,320"
"10000381","Arts Educational Schools","10","50","20","0","0","80"
"10007759","Aston University","490","780","175","30","10","1,485"
"10007857","Bangor University","395","835","600","145","5","1,980"
"10000571","Bath Spa University","180","830","325","50","0","1,385"
"10007850","The University of Bath","690","1,380","335","45","5","2,460"
"10007152","University of Bedfordshire","290","1,145","1,185","310","90","3,020"
"10005343","Queen's University Belfast","810","1,975","670","105","290","3,855"
"10037544","BIMM Limited","30","140","140","35","0","345"
"10007760","Birkbeck College","205","525","460","55","0","1,245"
"10007140","Birmingham City University","1,025","1,740","1,190","280","290","4,525"
"10006840","The University of Birmingham","1,355","2,365","505","85","475","4,785"
"10000712","University College Birmingham","200","300","340","125","0","965"
"10007811","Bishop Grosseteste University","60","280","145","15","0","500"
"10004061","Bloomsbury Institute","25","35","15","5","0","80"
"10006841","The University of Bolton","150","430","340","130","5","1,060"
"10000385","The Arts University Bournemouth","135","380","230","85","0","835"
"10000824","Bournemouth University","465","1,690","555","85","90","2,885"
"10031982","BPP University","40","180","170","40","0","435"
"10007785","The University of Bradford","560","980","525","65","345","2,470"
"10000886","The University of Brighton","640","1,685","955","205","190","3,675"
"10007786","The University of Bristol","1,020","2,195","385","55","445","4,100"
"10028216","Brit College","0","0","0","0","0","0"
"10000961","Brunel University London","500","1,245","580","90","65","2,485"
"10000975","Buckinghamshire New University","225","685","505","230","0","1,645"
"10007787","The University of Buckingham","70","155","150","35","0","415"
"10022021","UK College of Business and Computing","0","0","0","0","0","0"
"10019368","London College of Business Studies","0","0","0","0","0","0"
"10007788","The University of Cambridge","795","1,575","215","60","630","3,270"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0"
"10001143","Canterbury Christ Church University","495","1,425","795","160","0","2,875"
"10007814","Cardiff University","1,070","2,580","1,025","160","330","5,160"
"10007854","Cardiff Metropolitan University","390","915","540","90","65","2,005"
"10007141","The University of Central Lancashire","805","1,945","1,440","335","185","4,710"
"10007848","University of Chester","350","1,135","725","120","0","2,330"
"10007137","The University of Chichester","185","690","330","65","0","1,270"
"10001386","Chicken Shed Theatre Company","5","10","5","0","0","25"
"10001546","The College of Integrated Chinese Medicine","0","25","15","0","0","40"
"10010213","The City College","0","0","0","0","0","0"
"10001478","City, University of London","435","1,015","500","70","55","2,075"
"10013357","The Academy of Contemporary Music","80","85","40","0","0","205"
"10001653","Conservatoire for Dance and Drama","95","85","10","0","70","265"
"10007761","Courtauld Institute of Art","20","25","0","0","0","45"
"10001726","Coventry University","1,055","2,140","1,175","200","250","4,820"
"10007822","Cranfield University","0","0","0","0","0","0"
"10006427","University for the Creative Arts","245","515","350","90","0","1,200"
"10007842","University of Cumbria","245","810","480","175","15","1,720"
"10001883","De Montfort University","865","1,900","920","255","65","4,010"
"10007851","University of Derby","745","1,160","735","245","5","2,890"
"10007852","The University of Dundee","385","845","315","35","765","2,340"
"10007143","University of Durham","1,000","2,140","335","35","0","3,515"
"10007789","The University of East Anglia","840","1,430","400","50","150","2,865"
"10007144","The University of East London","580","1,375","950","400","0","3,305"
"10007823","Edge Hill University","795","1,385","760","185","10","3,135"
"10007772","Edinburgh Napier University","330","980","400","60","1,140","2,915"
"10007790","The University of Edinburgh","930","2,055","515","35","725","4,265"
"10022047","Empire College London Limited","0","0","0","0","0","0"
"10007791","The University of Essex","640","1,240","565","90","10","2,540"
"10002113","East End Computing and Business College Limited","0","0","0","0","0","0"
"10008229","EThames Graduate School Limited","0","0","5","0","0","5"
"10007792","The University of Exeter","835","2,375","495","80","125","3,915"
"10008640","Falmouth University","180","605","230","30","0","1,050"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0","0"
"10045476","Met Film School Limited","10","30","10","0","0","50"
"10004511","The National Film and Television School","0","0","0","0","0","0"
"10038763","ForMission Ltd","5","10","10","10","0","30"
"10022087","Futureworks","15","20","15","0","0","50"
"10007762","Glasgow Caledonian University","360","1,245","570","30","1,130","3,335"
"10002681","Glasgow School of Art","80","125","65","45","0","310"
"10007794","The University of Glasgow","695","1,585","475","65","805","3,620"
"10007145","University of Gloucestershire","290","940","430","125","0","1,785"
"10007833","Glyndŵr University","220","425","415","100","30","1,190"
"10002718","Goldsmiths College","260","770","220","25","0","1,275"
"10002735","Grafton College","0","0","0","0","0","0"
"10007146","The University of Greenwich","920","1,640","1,105","270","30","3,965"
"10007937","GSM London","65","325","350","80","25","850"
"10007825","Guildhall School of Music and Drama","35","70","10","0","10","120"
"10040812","Harper Adams University","55","225","150","15","30","475"
"10007764","Heriot-Watt University","280","580","225","75","170","1,330"
"10007147","University of Hertfordshire","875","2,030","1,165","400","0","4,470"
"10007765","Heythrop College","20","60","10","0","0","90"
"10042194","Kaplan Holborn College","5","0","0","0","0","10"
"10007148","The University of Huddersfield","885","1,580","1,100","280","135","3,980"
"10007149","The University of Hull","625","1,640","840","110","135","3,355"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0"
"10003270","Imperial College of Science, Technology and Medicine","785","890","225","30","365","2,295"
"10007766","Institute of Education","10","45","10","0","0","70"
"10035638","Institute of Contemporary Music Performance","35","80","40","5","0","165"
"10007767","Keele University","285","870","475","90","125","1,845"
"10003566","Kensington College of Business","0","5","5","10","0","25"
"10007150","The University of Kent","1,015","2,145","680","105","0","3,945"
"10003645","King's College London","1,040","1,980","515","75","545","4,150"
"10003678","Kingston University","820","1,855","1,155","345","45","4,220"
"10007768","The University of Lancaster","645","1,340","520","80","5","2,590"
"10003854","Leeds Arts University","70","170","80","10","0","330"
"10003861","Leeds Beckett University","720","2,175","1,330","220","130","4,575"
"10007795","The University of Leeds","1,430","3,275","805","115","395","6,020"
"10003863","Leeds Trinity University","165","465","185","30","15","860"
"10007796","The University of Leicester","535","1,485","500","95","265","2,880"
"10007151","The University of Lincoln","520","1,420","740","205","60","2,950"
"10003956","Liverpool Hope University","170","535","300","60","0","1,065"
"10003957","Liverpool John Moores University","1,090","2,535","1,070","270","10","4,980"
"10003945","The Liverpool Institute for Performing Arts","75","135","20","5","0","240"
"10006842","The University of Liverpool","1,085","2,120","820","200","580","4,805"
"10007162","University of the Arts, London","605","1,630","1,025","310","15","3,590"
"10004060","London School of Business and Finance (UK) Limited","0","0","0","0","0","0"
"10007769","London Business School","0","0","0","0","0","0"
"10030391","London Churchill College Ltd","0","0","0","0","0","0"
"10018361","City of London College","0","0","0","0","0","0"
"10007797","University of London (Institutes and activities)","0","0","0","0","0","0"
"10004006","London Centre of Contemporary Music","5","35","10","5","0","55"
"10015506","The London College UCK","10","15","25","15","0","70"
"10004048","London Metropolitan University","380","1,010","980","305","45","2,720"
